IDENTITY, NAME, Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,GRADE
01889,Addison Rowe,c,a,c,a,b,c,c,b,d,a,d,54%
90860,Leyla Sosa,b,d,d,b,d,a,c,b,b,b,a,81%
92776,Lisa Gaines,c,d,d,b,a,c,c,c,c,a,d,127%
51909,Sherlyn Burgess,d,b,a,c,b,d,b,c,d,a,d,163%
10582,Jeffrey Sellers,a,c,a,b,d,a,c,b,d,b,c,190%
67351,Nylah Salazar,d,a,c,b,b,b,a,a,c,a,c,227%
10508,Allie Byrd,a,d,c,d,d,b,b,a,d,b,b,272%
59820,Chana Romero,a,d,d,a,b,b,c,a,d,a,d,372%
95519,Emely R. Larsen,a,d,d,a,b,c,c,c,c,a,d,445%
74196,Ali Mcgrath,a,b,c,d,d,d,c,a,d,d,b,481%
13994,Alfredo Brennan,c,b,d,b,d,d,c,c,a,c,d,509%
22080,Miranda Parsons,b,d,c,a,c,c,c,c,d,a,b,554%
08331,Shayna Myers,d,a,d,c,d,a,c,b,b,b,c,572%
13389,Demetrius Graham,a,a,c,a,d,b,b,a,a,d,a,609%
77618,Averi Mckinney,b,c,a,b,c,c,d,c,c,c,a,609%
22977,Karsyn Powell,c,c,c,d,d,a,d,a,b,b,a,618%
97725,Cloe Macias,c,c,a,d,b,b,b,d,d,c,a,645%
70171,Mckenna Weaver,a,d,a,c,c,a,d,a,d,b,a,681%
73427,Trinity W. Dorsey,b,d,c,c,b,d,c,d,b,d,c,709%
12286,Trevin Duarte,a,a,b,d,c,b,b,c,b,b,a,727%
10142,Braden Combs,c,d,d,b,a,d,d,b,d,c,a,754%
63506,Susan Poole,b,c,d,c,b,c,a,b,c,c,b,772%
02658,Maximillian Wall,d,c,c,a,a,c,d,c,b,d,d,790%
37936,Jayden Molina,c,c,c,b,a,c,b,b,b,b,d,800%
29490,Deven Barker,d,a,a,b,c,b,b,b,d,d,c,818%
89184,Kayleigh Ford,a,c,e,a,b,b,c,a,d,a,d,900%
47864,Adalynn O'donnell,a,c,b,b,d,a,d,c,a,d,d,918%
21697,Enzo Stokes,a,a,a,a,d,c,d,a,d,b,c,954%
73096,Zachery Cohen,b,b,d,a,c,d,a,c,b,b,d,981%
55883,Guillermo Morrison,b,d,c,c,c,b,a,d,b,a,d,1018%
67250,Ariel Dominguez,c,c,a,c,d,c,c,b,d,b,b,1036%
18126,Paula Mcbride,a,b,a,c,c,a,c,a,d,b,c,1072%
70497,Thaddeus Castaneda,c,c,a,a,d,d,a,b,c,b,d,1090%
99419,Elsie Landry,d,b,c,d,c,a,b,d,b,b,b,1090%
99238,Miracle Ayala,b,d,a,a,a,c,c,d,a,c,d,1127%
30001,Raiden R. F. Fernandez,c,d,b,a,a,a,b,a,c,a,d,1172%
02648,Kaylyn Montes,a,a,d,b,b,a,b,d,a,b,d,1209%
05557,Amya Hensley,d,b,d,a,a,c,d,c,c,a,c,1236%
33301,Cristal Leon,b,d,c,d,d,b,d,d,b,d,b,1254%
58752,Ryder Villegas,d,c,c,d,a,b,a,d,d,d,d,1281%
13423,Terrance Vance,c,d,b,a,d,d,c,a,c,b,d,1327%
58166,Breanna Cruz,c,d,b,a,c,c,d,b,b,b,b,1345%
09292,Denzel Holloway,c,b,a,b,a,a,a,c,d,b,c,1354%
94573,Brock Diaz,a,b,d,d,c,c,b,a,b,c,a,1381%
45958,Xander Maynard,b,d,b,c,a,c,d,d,d,d,a,1400%
91423,Felicity Watson,d,b,c,c,c,a,b,d,b,a,c,1409%
79975,Kieran A. Arias,c,d,a,a,b,a,d,c,a,a,a,1445%
56958,Kassandra Ray,c,d,d,b,d,a,b,c,b,d,b,1463%
93066,Victoria Velazquez,d,c,c,b,c,a,a,a,d,a,a,1490%
95135,Tommy Drake,b,a,d,b,a,a,b,d,d,b,a,1509%
43412,Whitney Spears,b,b,b,c,a,c,b,a,a,a,b,1527%
13008,Abraham Huber,a,b,c,a,c,d,b,d,d,a,a,1563%
50251,Cael Bailey,a,b,c,a,c,d,c,d,a,d,b,1590%
17203,Roberto O. O'Dudley,b,d,b,b,d,c,d,d,d,c,d,1618%
20371,Mohammad Aguirre,b,a,a,a,b,a,d,b,c,c,b,1636%
94794,Kenna Oconnell,b,a,a,b,d,b,c,b,a,d,c,1654%
14348,Kierra P. Sexton,b,c,d,b,a,c,c,b,d,d,b,1681%
61118,Alonso Ramirez,d,a,b,b,c,d,c,d,d,c,b,1700%
83901,Ramon Houston,d,d,d,a,d,c,d,a,a,c,b,1736%
17402,Kyan Small-Kingston,b,a,b,a,d,c,a,c,c,b,a,1745%
99964,Shyanne Ward,a,c,a,d,a,b,c,d,b,b,d,1781%
50431,Lizbeth Yang,d,d,a,d,b,c,d,c,c,a,c,1809%
20277,Jayce Ball,c,c,d,b,a,d,c,a,b,c,a,1836%
55082,Bryce R. Lee,a,c,b,b,d,a,b,d,d,b,c,1854%
89777,Branden Bennett,d,c,d,b,c,c,c,b,a,c,c,1872%
15780,Maxim Dougherty,b,a,b,d,c,b,a,c,d,b,d,1900%
56514,Abram Olson,c,a,b,b,c,a,c,b,c,c,d,1918%
61759,Justin Faulkner,a,b,b,a,d,d,b,b,d,c,a,1945%
18401,Phoenix Lara,d,a,a,c,c,a,a,a,a,c,b,1954%
40470,Sonny Howard,c,a,a,a,c,d,a,c,a,c,c,1963%
65210,Ibrahim Esparza,b,d,b,b,b,b,d,a,b,d,c,2000%
74045,Alisha Mills,d,d,d,a,b,b,c,d,b,c,d,2063%
12698,Sophia Singh,b,d,b,c,b,d,c,d,d,d,a,2100%
14453,Dahlia Mcmahon,a,d,b,b,c,d,b,c,c,a,c,2127%
48453,Aiyana Mendez,b,a,c,c,d,b,b,a,b,c,c,2145%
26330,Sanai Hansen,c,a,b,b,d,b,b,d,a,c,b,2154%
57495,Esperanza Elliott,c,c,b,a,c,d,a,a,d,c,c,2181%
85900,Judah Mercer,a,a,d,b,c,b,d,a,c,b,b,2218%
73695,Melody Boyd-Westmoreland,c,d,b,d,b,c,c,d,a,d,a,2245%
65959,Wendy Greer,c,a,c,b,c,b,a,c,b,d,d,2263%
32687,Lucy Rodgers,a,d,a,c,a,b,a,c,a,b,b,2290%
65324,Selah Barton,d,d,b,d,c,b,b,a,b,a,c,2327%
12276,Ariel Spencer,b,c,c,c,b,c,b,b,b,b,a,2336%
15081,Micah Bullock,d,a,d,d,b,b,b,a,a,d,d,2381%
51799,Marley Harris,a,d,d,a,c,a,c,a,d,a,d,2463%
49598,Bethany Wiggins,c,b,c,d,c,c,a,b,c,a,b,2472%
57216,Campbell Mclean,b,c,d,b,b,c,a,c,c,a,a,2500%
18512,Jaylee Ritter,b,c,a,b,c,a,b,b,b,d,a,2500%
85499,Jose Sweeney,b,b,b,d,b,c,c,c,a,b,d,2527%
15924,Kenley Wheeler,d,a,a,c,a,a,b,b,c,b,c,2527%
84782,Jerry Sutton,b,a,b,c,d,c,c,b,d,d,a,2545%
10090,Deegan Galloway,b,d,c,b,a,b,d,a,b,d,c,2572%
74485,Carlie Sherman,d,d,d,b,a,b,c,c,b,d,a,2609%
03310,Caroline Stephenson,b,c,c,a,b,c,a,c,b,c,a,2627%
89050,Leonard Baldwin,a,d,c,b,d,a,d,c,d,c,a,2654%
27645,Garrett Hale,d,c,b,b,b,c,c,d,a,a,d,2690%
18589,Jovani Tran,c,a,a,a,c,a,c,c,a,a,a,2718%
79247,Kai Santos,a,d,b,d,b,b,c,a,d,a,b,2790%
86962,Jaydan Reyes,a,d,d,a,b,b,c,a,d,a,d,2890%
33430,Amy Saraha Whitney,b,a,a,b,a,a,a,a,d,c,d,2918%
55760,Camron Conway,d,b,b,d,b,c,a,d,c,a,c,2936%
76834,Kimora Dickson,a,d,d,a,b,b,c,a,d,a,d,3036%
56603,Cara Sharp,c,d,b,b,b,a,c,a,c,d,d,3081%
71342,Santos Oliver,b,d,d,d,d,b,b,d,d,a,c,3127%
54407,Aliyah Howell,c,d,a,d,a,c,b,c,b,c,a,3136%
12404,Louis Grant,d,c,d,b,b,c,a,c,c,d,c,3154%
68958,Jakayla Copeland,a,d,a,a,d,c,d,b,b,d,b,3181%
94108,Myles Soto,b,c,a,d,a,a,b,d,c,a,a,3190%
56778,Craig Cooley,d,b,c,b,a,a,c,b,d,d,b,3209%
98862,Daniela Guerra,b,a,a,d,d,b,b,a,d,b,d,3245%
61647,Erica Mccormick,c,b,d,a,b,d,a,a,a,c,b,3281%
55443,Jaylene Crosby,c,a,c,b,d,d,d,a,d,d,d,3309%
74096,Zaria Pinkerton-Dyer,a,a,c,d,c,c,d,a,d,c,a,3336%
58258,Jaime Reese,b,a,b,c,c,c,d,a,c,b,b,3345%
18233,Jaxson Barr,a,b,c,d,a,b,b,b,c,d,a,3363%
77123,Stella Carrillo,b,d,a,a,b,a,b,d,b,c,b,3390%
43608,Ismael Le,a,a,a,d,b,b,a,b,c,c,a,3418%
06003,Daniella Edwards,a,b,a,c,a,a,c,c,a,c,c,3436%
55191,Gretchen Hodge,a,d,d,a,b,b,c,a,d,a,d,3536%
19336,Sanaa Rodriguez,a,b,d,d,a,d,c,a,a,c,c,3572%
22534,Kaila B. Rich,c,a,d,c,c,b,a,a,b,a,a,3609%
08593,Giancarlo Stanley,c,d,a,d,c,b,c,c,d,b,b,3645%
50229,Mason Chaney,b,d,d,b,b,b,c,a,b,b,c,3700%
77368,Esmeralda Sanchez,d,c,d,a,d,d,c,b,c,d,a,3727%
24554,Ricky Cummings,a,c,d,d,a,a,c,b,a,b,c,3754%
31742,Jaelynn Lowery,c,b,b,d,c,a,c,b,c,c,b,3763%
26697,Evie Weiss,b,a,c,a,d,d,a,d,b,d,d,3781%
45882,Cecilia Cochran,a,b,c,a,d,b,b,b,c,d,b,3809%
15431,Yahir Parks,d,d,c,b,b,d,d,d,d,b,d,3845%
54155,Draven Hancock,a,d,c,c,d,b,d,d,c,c,d,3881%
99897,Ernest Krause,d,a,d,b,d,a,b,c,d,d,a,3900%
64762,Aubrey Griffith,d,d,a,c,a,d,b,b,c,d,d,3918%
29313,Dennis Dixon,a,c,a,c,a,d,a,d,a,d,a,3927%
